nombre,score,amenities,descripcion
Hotel Bethany Beach,4.5,"Parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Business Center with Internet Access,Meeting rooms,Non-smoking hotel,Wifi,Fence around pool,Breakfast available,Breakfast buffet,Outdoor furniture,24-hour front desk,Laundry service,Self-serve laundry,Air conditioning,Housekeeping,Safe,Refrigerator,Flatscreen TV,Non-smoking rooms,Family rooms","Just blocks from the ocean, your ideal family destination awaits. Offering a central locale, comfortable accommodations, and a sparkling outdoor pool-guests love exploring the area's best restaurants, tax-free shopping, bike trails, golf courses, and beaches at our Bethany Beach hotel."
Unipark Hotel,4.5,"Free parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Airport transportation,Business Center with Internet Access,Conference facilities,Salon,Parking garage,Wifi,Fitness / spa locker rooms,Sauna,Restaurant,Breakfast buffet,Breakfast in the room,Snack bar,Special diet menus,Shuttle bus service,Banquet room,Meeting rooms,Baggage storage,Concierge,Newspaper,Non-smoking hotel,Shops,ATM on site,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Room service,Safe,VIP room facilities,Flatscreen TV,Landmark view,Bridal suite,Non-smoking rooms,Suites,Family rooms","See why so many travelers make Unipark by Oro Verde Hotels their hotel of choice when visiting Guayaquil. Providing an ideal mix of value, comfort and convenience, it offers a family-friendly setting with an array of amenities designed for travelers like you.,Close to some of Guayaquil's most popular landmarks, such as Iglesia San Francisco (0.2 mi) and Captain Morgan's Pirate Ship (0.2 mi), Unipark by Oro Verde Hotels is a great destination for tourists.,Unipark by Oro Verde Hotels is a family-friendly hotel offering a flat screen TV and air conditioning in the rooms, and it is easy to stay connected during your stay as free wifi is offered to guests.,The hotel features a 24 hour front desk, a concierge, and room service. Plus, guests can enjoy a fitness center and a lounge, which have made this a popular choice among travelers visiting Guayaquil. For guests with a vehicle, free parking is available.,While in Guayaquil be sure to experience local shrimp favorites at La Canoa, Caracol Azul, or Picanteria La Culata.,Guayaquil is also known for some great gardens, including Botanical Garden of Guayaquil, Parque Seminario, and Jardines del Malecón Simón Bolíva, which are not too far from Unipark by Oro Verde Hotels.,At Unipark by Oro Verde Hotels, your comfort and satisfaction come first, and they look forward to welcoming you to Guayaquil."
Wyndham Guayaquil,4.5,"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities,Parking garage,Wifi,Pool / beach towels,Rooftop pool,Outdoor pool,Heated pool,Fitness / spa locker rooms,Sauna,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Poolside bar,Rooftop bar,Free shuttle or taxi services,Airport transportation,Taxi service,Banquet room,Meeting rooms,Couples massage,Facial treatments,Massage,Steam room,Rooftop terrace,24-hour security,Baggage storage,Concierge,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Allergy-free room,Air conditioning,Room service,Safe,Minibar,Flatscreen TV,Bridal suite,Non-smoking rooms,Suites,Family rooms","Located 4.8 Km (3 miles) away from Jose Joaquin de Olmedo International Airport, right next to the majestic Guayas River. The historical Santa Ana Hill and its famous Lighthouse, the amazing Malecon 2000 and the traditional Barrio Las Penas, are within a few minutes walking distance. It features a rooftop swimming pool, spa and a fitness center equipped with jacuzzis, steam bath, sauna and gym. Buffet breakfast is served daily at Rio Grande restaurant where you can enjoy a memorable river view."
River Garden Hotel & Suites,5.0,"Free parking,Free High Speed Internet (WiFi),Pool,Bar / lounge,Walking tours,Kids stay free,Children's television networks,Pets Allowed ( Dog / Pet Friendly ),Parking garage,Pool / beach towels,Infinity pool,Rooftop pool,Pool with view,Outdoor pool,Heated pool,Shallow end in pool,Fence around pool,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Complimentary Instant Coffee,Complimentary tea,Snack bar,Wine / champagne,Poolside bar,Rooftop bar,Airport transportation,Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,24-hour security,Baggage storage,Convenience store,Non-smoking hotel,Outdoor furniture,Sun deck,Sun terrace,Sun umbrellas,ATM on site,First aid kit,Umbrella,24-hour check-in,24-hour front desk,Laundry service,Washing machine,Ironing service,Allergy-free room,Blackout curtains,Air conditioning,Desk,Coffee / tea maker,Cable / satellite TV,Extra long beds,Walk-in shower,Housekeeping,Interconnected rooms available,Room service,Safe,Seating area,Sofa,Telephone,Wardrobe / closet,Bottled water,Clothes rack,Iron,Laptop safe,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,Refrigerator,Flatscreen TV,Sofa bed,Bath / shower,Complimentary toiletries,Hair dryer,Mountain view,City view,Landmark view,Non-smoking rooms,Suites,Family rooms","Located in Guayaquil, in front of Malecon 2000, River Garden Hotel + Suites provides accommodation with a restaurant, free private parking, a fitness centre and a bar. Featuring family rooms, this property also provides guests with a terrace. The accommodation offers a 24-hour front desk, a concierge service and organising tours for guests. At the hotel, each room is equipped with a wardrobe. At River Garden Hotel + Suites each room comes with a desk and a private bathroom. Guests at the accommodation can enjoy a continental or a buffet breakfast. River Garden Hotel + Suites offers a hot tub. Popular points of interest near the hotel include Saint Francis Church, Artisan Market Guayaquil and Botanical Garden. The nearest airport is José Joaquín de Olmedo International, 4 km from River Garden Hotel + Suites. The hotel offers in-out airport transportation as long as you request in advance."
Oro Verde Guayaquil,4.5,"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Free airport transportation,Business Center with Internet Access,Parking garage,Wifi,Outdoor pool,Heated pool,Fitness / spa locker rooms,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary welcome drink,Happy hour,Kid-friendly buffet,Airport transportation,Shuttle bus service,Taxi service,Conference facilities,Banquet room,Meeting rooms,Spa,Facial treatments,Hammam,Massage,Salon,Solarium,Steam room,Rooftop terrace,Baggage storage,Concierge,Non-smoking hotel,Shops,Butler service,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Air conditioning,Interconnected rooms available,Room service,Safe,Minibar,Flatscreen TV,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Oro Verde Guayaquil, offers an exquisite combination of European experience and Ecuadorian hospitality. Our full-service, downtown hotel offers the ultimate in sophistication and comfort for business and leisure travelers alike. Our hotel's superb location in the Guayaquil commercial and financial district means you are within walking distance of popular tourist attractions, entertainment and shopping as well as cultural and historical sites. The hotel is also just a quick eight-minute drive from the airport and offers complimentary transfers."
Radisson Hotel Guayaquil,4.5,"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Free airport transportation,Business Center with Internet Access,Conference facilities,Secured parking,Wifi,Pool / beach towels,Pool with view,Outdoor pool,Bar / lounge,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary tea,Kids' meals,Special diet menus,Wine / champagne,Taxi service,Banquet room,Meeting rooms,Baggage storage,Executive lounge access,Newspaper,Non-smoking hotel,Sun loungers / beach chairs,Sun terrace,Sun umbrellas,Umbrella,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Soundproof rooms,Air conditioning,Desk,Housekeeping,Room service,Coffee / tea maker,Cable / satellite TV,Bath / shower,Safe,Wardrobe / closet,Bottled water,Wake-up service / alarm clock,Refrigerator,Flatscreen TV,Radio,iPod docking station,City view,Pool view,Bridal suite,Non-smoking rooms,Suites,Family rooms","Situated on the north side of Guayaquil with quick access to shopping, medical offices and the airport, Radisson Hotel Guayaquil offers an ideal location for business travelers and vacationers. Take our free airport shuttle to the hotel, where you can refresh with a workout in our fitness center or a swim in the outdoor pool. Tour nearby Las Peñas and the art galleries at Santa Ana Hill, and then return for dining at our on-site Mangle Restaurant."
Hostal Posada Del Sol,3.0,"Free parking,Free High Speed Internet (WiFi),Restaurant,Kids stay free,Airport transportation,Photo copier / fax In business center,24-hour security,Baggage storage,Valet parking,Wifi,Concierge,Non-smoking hotel,24-hour check-in,24-hour front desk,Laundry service,Ironing service,Air conditioning,Room service,Clothes rack,Private bathrooms,Wake-up service / alarm clock,Bath / shower,Complimentary toiletries,Non-smoking rooms,Suites,Family rooms","WHAT YOU WERE LOOKING FOR ! We are located in front of the Jose Joaquin de Olmedo airport in the city of Guayaquil , behind Esmeraldas Transport"
RDRS Guest House,4.0,"Free parking,Free High Speed Internet (WiFi),Wifi,Restaurant,Dry cleaning,Laundry service,Air conditioning",
Club Wyndham Mauna Loa Village,4.0,"Free parking,Free High Speed Internet (WiFi),Pool,Diving,Game room,Spa,BBQ facilities,Concierge,Valet parking,Wifi,Hot tub,Pool / beach towels,Outdoor pool,Fence around pool,Tennis court,Windsurfing,Fishing,Non-smoking hotel,ATM on site,24-hour front desk,Express check-in / check-out,Clothes dryer,Self-serve laundry,Washing machine,Air conditioning,Additional bathroom,Private balcony,Safe,Kitchenette,Dishwasher,Flatscreen TV,Bath / shower,Seating area,Telephone,Iron,Microwave,Refrigerator,Kitchenware,Hair dryer,Non-smoking rooms,Suites","See why so many travelers make Wyndham Mauna Loa Village their hotel of choice when visiting Kailua-Kona. Providing an ideal mix of value, comfort and convenience, it offers a family-friendly setting with an array of amenities designed for travelers like you.,Rooms at Kailua-kona Wyndham provide a flat screen TV, air conditioning, and a kitchenette, and guests can stay connected with free wifi.,In addition, while staying at Wyndham Mauna Loa Village guests have access to a 24 hour front desk, a concierge, and express check-in and check-out. You can also enjoy a pool and barbeque facilities. Need a place to park? Free parking is available at Wyndham Mauna Loa Village.,Close to Holualoa Village (1.5 mi), a popular Kailua-Kona landmark, Wyndham Kailua-kona is a great destination for tourists.,While in Kailua-Kona be sure to experience local crab favorites at Rays on the Bay or Kenichi Pacific Sushi & Pacific Rim.,We’re sure you’ll enjoy your stay at Wyndham Mauna Loa Village as you experience all of the things Kailua-Kona has to offer."
Historic Hollywood Beach Resort,2.5,"Paid public parking on-site,Pool,Fitness Center with Gym / Workout Room,Snack bar,Beach,Bicycle rental,Gift shop,Shops,Parking garage,Outdoor pool,24-hour front desk,Self-serve laundry,Air conditioning,Safe,Kitchenette,Microwave,Flatscreen TV,Ocean view,Non-smoking rooms,Suites","Hollywood Beach Resort is an excellent choice for travelers visiting Hollywood, offering a quiet environment alongside many helpful amenities designed to enhance your stay.,Given the close proximity of popular landmarks, such as Congregation Ahavat Shalom (Beach Shul) (0.3 mi) and Goddess Store and Studio (1.9 mi), guests of Hollywood Ramada can easily experience some of Hollywood's most well known attractions.,The rooms offer a flat screen TV, a kitchenette, and air conditioning, allowing you to rest and refresh with ease.,Ramada Hollywood Beach features a 24 hour front desk, shops, and a gift shop. In addition, as a valued Hollywood Beach Resort guest, you can enjoy a pool and a snack bar that are available on-site. Guests arriving by vehicle have access to a parking garage.,Travelers looking to enjoy some oyster can head to GG's Waterfront Bar and Grill, Nick's Bar & Grill, or Billy's Stone Crab. Otherwise, you may want to check out a French restaurant such as CAFE CLUB by les artistes, Le Comptoir, or La Flambee.,There is no shortage of things to do in the area: explore popular parks such as Hollywood North Beach Park, ArtsPark at Young Circle, and Topeekeegee Yugnee Park.,Enjoy your stay in Hollywood!"
Sea Foam Motel,4.0,"Free parking,Free High Speed Internet (WiFi),Pool,Yoga classes,Outdoor dining area,Badminton,Bicycle rental,Kids stay free,Wifi,Swimming pool toys,Outdoor pool,Shallow end in pool,Fence around pool,Fitness classes,Vending machine,Bicycles available,Hiking,Snorkeling,Bowling offsite,Canoeing offsite,Evening entertainment,Fishing,Patio,Walking tours,Board games / puzzles,Books, DVDs, music for children,Children's playground,Children's television networks,Kids' outdoor play equipment,Couples massage,Full body massage,Massage,BBQ facilities,Baggage storage,Convenience store,Gift shop,Outdoor furniture,Picnic area,Sun deck,Sun loungers / beach chairs,Sun umbrellas,ATM on site,Umbrella,24-hour check-in,Express check-in / check-out,Private check-in / check-out,Blackout curtains,Air conditioning,Dining area,Interconnected rooms available,Private balcony,Coffee / tea maker,Cable / satellite TV,Walk-in shower,Seating area,Sofa,Wardrobe / closet,Private bathrooms,Tile / marble floor,Microwave,Oven,Refrigerator,Stovetop,Kitchenware,Flatscreen TV,Bath / shower,Complimentary toiletries,Ocean view,Pool view,Bridal suite,Non-smoking rooms","See why so many travelers make Sea Foam Motel their motel of choice when visiting Nags Head. Providing an ideal mix of value, comfort and convenience, it offers a family-friendly setting with an array of amenities designed for travelers like you. Rooms at Sea Foam Hotel offer air conditioning and a refrigerator providing exceptional comfort and convenience, and guests can go online with free wifi. A pool will also help to make your stay even more special. If you are driving to Sea Foam Hotel, free parking is available. During your visit, be sure to check out Jennette's Pier (0.2 mi), which is a popular attraction within walking distance of the motel We’re sure you’ll enjoy your stay at Sea Foam Motel as you experience all of the things Nags Head has to offer. Check in is at 4PM Check Out is at 11AM"
